Link	bacnam	ID
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778698
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778699
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778700
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778701
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778702
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778703
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778704
Ga0072399	Lactobacillus_mellifer_Bin4	2630989679
Ga0072399	Lactobacillus_mellifer_Bin4	2630989680
Ga0072399	Lactobacillus_mellifer_Bin4	2630989681
Ga0072399	Lactobacillus_mellifer_Bin4	2630989682
Ga0072399	Lactobacillus_mellifer_Bin4	2630989683
Ga0072399	Lactobacillus_mellifer_Bin4	2630989684
Ga0072399	Lactobacillus_mellifer_Bin4	2630989685
Ga0072399	Lactobacillus_mellifer_Bin4	2630989686
Ga0072399	Lactobacillus_mellifer_Bin4	2630989687
Ga0072399	Lactobacillus_mellifer_Bin4	2630989688
Ga0072399	Lactobacillus_mellifer_Bin4	2630989689
Ga0072399	Lactobacillus_mellifer_Bin4	2630989690
Ga0072399	Lactobacillus_mellifer_Bin4	2630989691
Ga0072399	Lactobacillus_mellifer_Bin4	2630989692
Ga0072399	Lactobacillus_mellifer_Bin4	2630989693
Ga0072399	Lactobacillus_mellifer_Bin4	2630989694
Ga0072399	Lactobacillus_mellifer_Bin4	2630989695
Ga0072399	Lactobacillus_mellifer_Bin4	2630989696
Ga0072399	Lactobacillus_mellifer_Bin4	2630989697
Ga0072399	Lactobacillus_mellifer_Bin4	2630989698
Ga0072399	Lactobacillus_mellifer_Bin4	2630989699
Ga0072399	Lactobacillus_mellifer_Bin4	2630989700
Ga0072399	Lactobacillus_mellifer_Bin4	2630989701
Ga0072399	Lactobacillus_mellifer_Bin4	2630989702
Ga0072399	Lactobacillus_mellifer_Bin4	2630989703
Ga0072399	Lactobacillus_mellifer_Bin4	2630989704
Ga0072399	Lactobacillus_mellifer_Bin4	2630989705
Ga0072399	Lactobacillus_mellifer_Bin4	2630989706
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748220
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748221
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748222
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748223
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748224
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748225
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748226
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748227
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748228
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748229
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748230
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748231
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748232
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748233
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748234
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748235
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748236
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748237
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748238
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748239
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748240
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748241
Ga0072400	Lactobacillus_helsingborgensis_Bma5	2645748242
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901441
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901442
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901443
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901444
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901445
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901446
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901447
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901448
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901449
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901450
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901451
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901452
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901453
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901454
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901455
Ga0072401	Bifidobacterium_asteroides_Hma3	2651901456
Ga0072402	Lactobacillus_apis_Hma11	2631011825
Ga0072402	Lactobacillus_apis_Hma11	2631011826
Ga0072402	Lactobacillus_apis_Hma11	2631011827
Ga0072402	Lactobacillus_apis_Hma11	2631011828
Ga0072402	Lactobacillus_apis_Hma11	2631011829
Ga0072402	Lactobacillus_apis_Hma11	2631011830
Ga0072402	Lactobacillus_apis_Hma11	2631011831
Ga0072402	Lactobacillus_apis_Hma11	2631011832
Ga0072402	Lactobacillus_apis_Hma11	2631011833
Ga0072402	Lactobacillus_apis_Hma11	2631011834
Ga0072402	Lactobacillus_apis_Hma11	2631011835
Ga0072402	Lactobacillus_apis_Hma11	2631011836
Ga0072402	Lactobacillus_apis_Hma11	2631011837
Ga0072402	Lactobacillus_apis_Hma11	2631011838
Ga0072402	Lactobacillus_apis_Hma11	2631011839
Ga0072402	Lactobacillus_apis_Hma11	2631011840
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926485
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926486
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926487
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926488
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926489
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926490
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926491
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926492
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926493
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926494
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926495
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926496
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926497
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926498
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926499
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926500
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926501
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926502
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926503
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926504
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926505
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926506
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926507
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926508
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926509
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926510
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926511
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926512
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926513
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926514
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926515
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926516
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926517
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926518
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926519
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926520
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926521
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926522
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926523
Ga0072403	Lactobacillus_kimbladii_Hma2	2627926524
Ga0072404	Lactobacillus_melliventris_Hma8	2639818144
Ga0072404	Lactobacillus_melliventris_Hma8	2639818145
Ga0072404	Lactobacillus_melliventris_Hma8	2639818146
Ga0072404	Lactobacillus_melliventris_Hma8	2639818147
Ga0072404	Lactobacillus_melliventris_Hma8	2639818148
Ga0072404	Lactobacillus_melliventris_Hma8	2639818149
Ga0072404	Lactobacillus_melliventris_Hma8	2639818150
Ga0072404	Lactobacillus_melliventris_Hma8	2639818151
Ga0072404	Lactobacillus_melliventris_Hma8	2639818152
Ga0072404	Lactobacillus_melliventris_Hma8	2639818153
Ga0072404	Lactobacillus_melliventris_Hma8	2639818154
Ga0072404	Lactobacillus_melliventris_Hma8	2639818155
Ga0072404	Lactobacillus_melliventris_Hma8	2639818156
Ga0072404	Lactobacillus_melliventris_Hma8	2639818157
Ga0072404	Lactobacillus_melliventris_Hma8	2639818158
Ga0072404	Lactobacillus_melliventris_Hma8	2639818159
Ga0072404	Lactobacillus_melliventris_Hma8	2639818160
Ga0072404	Lactobacillus_melliventris_Hma8	2639818161
Ga0072404	Lactobacillus_melliventris_Hma8	2639818162
Ga0072404	Lactobacillus_melliventris_Hma8	2639818163
Ga0072404	Lactobacillus_melliventris_Hma8	2639818164
Ga0072404	Lactobacillus_melliventris_Hma8	2639818165
Ga0072404	Lactobacillus_melliventris_Hma8	2639818166
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657126
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657127
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657128
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657129
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657130
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657131
Ga0133549	Bifidobacterium_asteroides_Bi_170	2684657132
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657133
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657134
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657135
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657136
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657137
Ga0133550	Bifidobacterium_coryneforme_Bi_197	2684657138
Ga0216351	Commensalibacter_sp._ESL0284	2756195077
Ga0216351	Commensalibacter_sp._ESL0284	2756195077
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657139
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657140
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657141
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657142
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657143
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657144
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657145
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657146
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657147
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657148
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657149
Ga0133551	Bifidobacterium_asteroides_Bi_198	2684657150
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657151
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657152
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657153
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657154
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657155
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657156
Ga0133552	Bifidobacterium_asteroides_Bi_199	2684657157
Ga0133562	Lactobacillus_melliventris_Lb_184	2684657107
Ga0133562	Lactobacillus_melliventris_Lb_184	2684657108
Ga0133562	Lactobacillus_melliventris_Lb_184	2684657109
Ga0133562	Lactobacillus_melliventris_Lb_184	2684657110
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657158
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657159
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657160
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657161
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657162
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657163
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657164
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657165
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657166
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657167
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657168
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657169
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657170
