,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Salmonella phage SE2,Salmonella virus SE2,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_112,Escherichia virus E112,all,T4-like viruses,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Enterococcus phage EFC-1,Enterococcus phage EFC-1,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage ECML-4,Escherichia virus ECML4,all,Vi1virus,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage J8-65,Enterobacteria phage J8-65,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Escherichia phage ECML-117,Escherichia phage ECML-117,all,,,Myoviridae,Caudovirales,Vira,,
Listeria phage WIL-1,Listeria virus WIL1,all,P100virus,Jasinkavirinae,Herelleviridae,Caudovirales,Vira,,
Shigella phage Shf125875,Shigella virus UTAM,all,Mosigvirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Shigella phage POCJ13,Shigella virus POCJ13,all,Diegovirus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Bacillus phage CP-51,Bacillus virus CP51,all,Cp51virus,Spounavirinae,Herelleviridae,Caudovirales,Vira,,
Caulobacter phage Cr30,Caulobacter bacteriophage Cr30,all,,,Myoviridae,Caudovirales,Vira,,
Staphylococcus phage Team1,Bacteriophage G1,all,Kayvirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Staphylococcus phage MCE-2014,Staphylococcus virus MCE2014,all,Kayvirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Staphylococcus phage phiSa119,Staphylococcus aureus phage phiSa119,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Yersinia phage vB_YenP_AP5,Yersinia enterocolitica phage vB_YenP_AP5,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Shigella phage pSb-1,Shigella virus Sb1,all,G7cvirus,,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage vB_SepS_SEP9,Staphylococcus virus SEP9,all,Sextaecvirus,,Siphoviridae,Caudovirales,Vira,,
Enterococcus phage IME-EFm1,Enterococcus phage IME-EFm1,all,Efquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Lactoccocus phage WP-2,Lactoccocus garvieae phage WP-2,all,,Nanovirinae,Podoviridae,Caudovirales,Vira,,
Idiomarinaceae phage Phi1M2-2,Idiomarinacea bacterium bacteriophage Phi1M2-2,all,,,Siphoviridae,Caudovirales,Vira,,
Shewanella sp. phage 1/40,Shewanella sp. phage 1/40,all,,,Myoviridae,Caudovirales,Vira,,
Dickeya phage RC-2014,Dickeya virus RC2014,all,Limestonevirus,Aglimvirinae,Ackermannviridae,Caudovirales,Vira,,
Shewanella sp. phage 3/49,Shewanella sp. phage 3/49,all,,,Siphoviridae,Caudovirales,Vira,,
Enterococcus phage EfaCPT1,Enterococcus virus EfaCPT1,all,Efquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Shewanella sp. phage 1/44,Shewanella sp. phage 1/44,all,,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter baumannii phage vB_AbaM_Acibel004,all,,,Myoviridae,Caudovirales,Vira,,
Aeromonas phage pAh6-C,Aeromonas phage pAh6-C,all,,,Myoviridae,Caudovirales,Vira,,
Shewanella sp. phage 1/41,Shewanella sp. phage 1/41,all,,,Myoviridae,Caudovirales,Vira,,
Acinetobacter phage vB_AbaP_Acibel007,Acinetobacter baumannii phage vB_AbaP_Acibel007,all,Fri1virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Escherichia phage ECML-134,Escherichia virus ECML134,all,T4-like viruses,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Escherichia phage 121Q,Escherichia virus 121Q,all,Asteriusvirus,,Myoviridae,Caudovirales,Vira,,
Salmonella phage 9NA,Salmonella virus 9NA,all,Nonanavirus,,Siphoviridae,Caudovirales,Vira,,
Idiomarinaceae phage 1N2-2,Idiomarinaceae phage 1N2-2,all,,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Soto,Mycobacterium virus Soto,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Shewanella sp. phage 1/4,Shewanella sp. phage 1/4,all,,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Taj,Mycobacterium virus Taj,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mesorhizobium phage vB_MloP_Lo5R7ANS,Mesorhizobium phage vB_MloP_Lo5R7ANS,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
