,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Yersinia phage phiR201,Yersinia phage phiR201,all,T5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage DL68,Pseudomonas virus DL68,all,PB1likevirus,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage DL54,Pseudomonas aeruginosa DL54 phage,all,LUZ24-like viruses,,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage DL64,Pseudomonas aeruginosa DL64 phage,all,Lit1virus,,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage DL62,Pseudomonas aeruginosa DL62 phage,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage DL60,Pseudomonas virus DL60,all,PB1likevirus,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage K8,Pseudomonas phage K8,all,Pakpunavirus,,Myoviridae,Caudovirales,Vira,,
Paenibacillus phage Harrison,Paenibacillus virus Harrison,all,Harrisonvirus,,Siphoviridae,Caudovirales,Vira,,
Achromobacter phage phiAxp-1,Achromobacter phage 22732H,all,,,Siphoviridae,Caudovirales,Vira,,
Paenibacillus phage Fern,Paenibacillus virus Willow,all,Sitaravirus,,Siphoviridae,Caudovirales,Vira,,
Paenibacillus phage Xenia,Paenibacillus Larvae Bacteriophage Xenia,all,Sitaravirus,,Siphoviridae,Caudovirales,Vira,,
Paenibacillus phage Vegas,Paenibacillus virus Vegas,all,Vegasvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Cabrinians,Mycobacteriophage Cabrinians,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Acidianus tailed spindle virus,Acidianus tailed spindle virus,all,,,Bicaudaviridae,,Vira,,
Acidianus rod-shaped virus 2,Acidianus rod-shaped virus 2,all,Rudivirus,,Rudiviridae,Ligamenvirales,Vira,,
Streptomyces phage Amela,Streptomyces virus Amela,all,Camvirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage 812,Staphylococcus bacteriophage 812,all,Kayvirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Proteus phage PM 93,Proteus mirabilis phage PM 93,all,SP6-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Clostridium phage phiCDHM13,Clostridium phage phiCDHM13,all,,,Myoviridae,Caudovirales,Vira,,
Sulfolobus monocaudavirus SMV3,Sulfolobus monocaudavirus SMV3,all,,,Bicaudaviridae,,Vira,,
Paenibacillus phage Rani,Paenibacillus virus Rani,all,Sitaravirus,,Siphoviridae,Caudovirales,Vira,,
Pectobacterium phage Peat1,Pectobacterium virus Peat1,all,Phimunavirus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Cronobacter phage Dev2,Cronobacter phage Dev2,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Achromobacter phage phiAxp-2,Achromobacter phage phiAxp-2,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage PaoP5,Pseudomonas phage PaoP5,all,Pakpunavirus,,Myoviridae,Caudovirales,Vira,,
Vibrio phage eugene 12A10,Vibrio phage eugene 12A10,all,,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage VCM,Pseudomonas virus VCM,all,Otagovirus,,Myoviridae,Caudovirales,Vira,,
Bacillus phage Bp8p-C,Bacillus virus Bp8pC,all,Agatevirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Shigella phage 75/02 Stx,Shigella virus 7502Stx,all,Diegovirus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage SPbeta-like,Staphylococcus phage SPbeta-like,all,SPbeta-like viruses,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage GE1,Lactococcus garvieae phage GE1,all,,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage RS138,Ralstonia phage RS138,all,,,Siphoviridae,Caudovirales,Vira,,
Brevibacillus phage Jimmer1,Brevibacillus phage Jimmer1,all,Jimmervirus,,Myoviridae,Caudovirales,Vira,,
Enterobacter phage E-2,Enterobacter cloacae phage E-2,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Klebsiella phage KP36,Klebsiella virus KP36,all,Kp36virus,Tunavirinae,Siphoviridae,Caudovirales,Vira,,
Pseudoalteromonas phage H101,Pseudoalteromonas marina phage H101,all,,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Mindy,Mycobacteriophage Mindy,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage APCEc01,Escherichia virus APCEc01,all,Mosigvirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Dusk,Mycobacteriophage Dusk,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Erysipelothrix phage SE-1,Erysipelothrix phage SE-1,all,,,Siphoviridae,Caudovirales,Vira,,
Achromobacter phage JWF,Achromobacter phage JWF,all,,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage GordTnk2,Gordonia virus GordTnk2,all,Gordtnkvirus,,Siphoviridae,Caudovirales,Vira,,
Geobacillus virus E3,Geobacillus phage E3,all,,,Siphoviridae,Caudovirales,Vira,,
Cronobacter phage Dev-CD-23823,Cronobacter phage Dev-CD-23823,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Lactobacillus phage LfeSau,Lactobacillus fermentum phage LfeSau,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage PS-1,Pseudomonas phage PS-1,all,,,Siphoviridae,Caudovirales,Vira,,
Rhodoferax phage P26218,Rhodoferax phage P26218,all,,,Podoviridae,Caudovirales,Vira,,
Gordonia phage GordDuk1,Gordonia phage GordDuk1,all,Gordtnkvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Edtherson,Mycobacteriophage Edtherson,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Lactobacillus phage LfeInf,Lactobacillus fermentum bacteriophage LfeInf,all,,,Herelleviridae,Caudovirales,Vira,,
Vibrio phage qdvp001,Vibrio phage qdvp001,all,,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage UnionJack,Mycobacteriophage UnionJack,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage phiJB,Staphylococcus phage phiJB,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Guinea pig Chlamydia phage,Chlamydia virus CPG1,all,Chlamydiamicrovirus,Gokushovirinae,Microviridae,,Vira,,
Escherichia phage Stx2 II,Escherichia virus Stx2 II,all,Nona33virus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Dickeya virus Limestone,Dickeya phage Limestone,all,Limestonevirus,Aglimvirinae,Ackermannviridae,Caudovirales,Vira,,
Verrucomicrobia phage P8625,Verrucomicrobia phage P8625,all,,,Siphoviridae,Caudovirales,Vira,,
Sinorhizobium phage phiLM21,Sinorhizobium phage phiLM21,all,,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage SMSAP5,Bacteriophage SMSAP5,all,3alikevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus virus 108PVL,Staphylococcus aureus bacteriophage phiPVL(108),all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Breeniome,Mycobacterium virus Bxz1,all,I3-like viruses,,Myoviridae,Caudovirales,Vira,,
Escherichia virus SSL2009a,Enterobacteria phage SSL-2009a,all,Dhillonvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage phi92,Enterobacteria phage phi92,all,,,Myoviridae,Caudovirales,Vira,,
Pseudoalteromonas phage H105/1,Pseudoalteromonas phage H105/1,all,,,Siphoviridae,Caudovirales,Vira,,
Lactococcus virus CB14,Lactococcus lactis phage CB14,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus virus CB13,Lactococcus lactis phage CB13,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage LKA1,Pseudomonas virus LKA1,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Quink,Mycobacterium phage Quink,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Vibrio phage CTX,Vibrio cholerae phage CTXphi,all,,,Inoviridae,,Vira,,
Thermus thermophilus phage IN93,Bacteriophage IN93,all,Gammasphaerolipovirus,,Sphaerolipoviridae,,Vira,,
Podovirus Lau218,Podovirus Lau218,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Lactobacillus phage phi jlb1,Lactobacillus gasseri prophage phi jlb1,all,,,Myoviridae,Caudovirales,Vira,,
Escherichia phage slur09,Escherichia virus slur09,all,T5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiMMP03,Clostridium phage phiMMP03,all,Cd119virus,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCD146,Clostridium phage phiCD146,all,,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiCD481-1,Clostridium phage phiCD481-1,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCD111,Clostridium phage phiCD111,all,,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiMMP01,Clostridium phage phiMMP01,all,Cd119virus,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCD506,Clostridium phage phiCD506,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCD505,Clostridium phage phiCD505,all,Cd119virus,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCT9441A,Clostridium phage phiCT9441A,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCT19406C,Clostridium phage phiCT19406C,all,,,Siphoviridae,Caudovirales,Vira,,
Citrobacter phage phiCFP-1,Citrobacter phage 10159H,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Enterobacter phage phiEap-1,Enterobacter aerogenes phage phiEap-1,all,Kp32virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Synechococcus phage S-CBP42,Cyanophage S-CBP42,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Streptococcus phage APCM01,Streptococcus phage APCM01,all,,,Siphoviridae,Caudovirales,Vira,,
Brevibacillus phage Abouo,Brevibacillus virus Abouo,all,Abouovirus,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage JenP1,Escherichia virus JenP1,all,Nonagvirus,,Siphoviridae,Caudovirales,Vira,,
Sulfolobales virus YNP1,Sulfolobales virus YNP1,all,,,,,Vira,,
Enterococcus phage EFLK1,Enterococcus virus EFLK1,all,Kochikohdavirus,Brockvirinae,Herelleviridae,Caudovirales,Vira,,
Staphylococcus phage IME-SA4,Staphylococcus Haemolyticus bacteriophage IME-SA4,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus virus 250,Bacillus phage 250,all,Cecivirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage JH2,Escherichia virus JH2,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage JenK1,Escherichia virus JenK1,all,Nonagvirus,,Siphoviridae,Caudovirales,Vira,,
Sulfolobus monocaudavirus SMV2,Sulfolobus monocaudavirus SMV2,all,,,Bicaudaviridae,,Vira,,
Stenotrophomonas phage vB_SmaS-DLP_2,Stenotrophomonas phage vB_SmaS-DLP_2,all,Septima3virus,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage KPP21,Pseudomonas virus KPP21,all,Luz7virus,,Podoviridae,Caudovirales,Vira,,
Parabacteroides phage YZ-2015b,Parabacteroides merdae prophage YZ-2015b,all,,,Microviridae,,Vira,,
Citrobacter phage IME-CF2,Citrobacter phage IME-CF2,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Parabacteroides phage YZ-2015a,Parabacteroides distasonis phage YZ-2015a,all,,,Microviridae,,Vira,,
Sulfolobus monocaudavirus SMV4,Sulfolobus monocaudavirus SMV4,all,,,Bicaudaviridae,,Vira,,
Staphylococcus phage SA97,Staphylococcus aureus Bacteriophage SA97,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Enterococcus phage EFDG1,Enterococcus virus EFDG1,all,,Brockvirinae,Herelleviridae,Caudovirales,Vira,,
Ralstonia phage RSJ5,Ralstonia phage RSJ5,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Streptomyces phage phiSAJS1,Streptomyces avermitilis phage phiSAJS1,all,Woodruffvirus,,Siphoviridae,Caudovirales,Vira,,
Microcystis phage MaMV-DC,Microcystis aeruginosa phage MaMV-DC,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCDHM11,Clostridium phage phiCDHM11,all,,,Myoviridae,Caudovirales,Vira,,
Stenotrophomonas phage IME13,Stenotrophomonas virus IME13,all,Tulanevirus,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage PhiPA3,Pseudomonas aeruginosa phage PhiPA3,all,PhiKZ-like viruses,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage JenP2,Escherichia virus JenP2,all,Nonagvirus,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiCDHM19,Clostridium phage phiCDHM19,all,Cd119virus,,Myoviridae,Caudovirales,Vira,,
Acinetobacter phage phiAC-1,Acinetobacter phage phiAC-1,all,,,Myoviridae,Caudovirales,Vira,,
Gokushovirinae GNX3R,Gokushovirinae GNX3R,all,,Gokushovirinae,Microviridae,,Vira,,
Gokushovirinae GAIR4,Gokushovirinae GAIR4,all,,Gokushovirinae,Microviridae,,Vira,,
Sulfolobales Virus YNP2,Sulfolobales Virus YNP2,all,,,,,Vira,,
Ralstonia phage RSJ2,Ralstonia phage J2,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Alice,Mycobacterium virus Alice,all,I3-like viruses,,Myoviridae,Caudovirales,Vira,,
Streptococcus phage M102AD,Streptococcus mutans phage M102AD,all,,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage Shanette,Bacillus virus Shanette,all,Cp51virus,Spounavirinae,Herelleviridae,Caudovirales,Vira,,
Bacillus phage JL,Bacillus virus JL,all,Cp51virus,Spounavirinae,Herelleviridae,Caudovirales,Vira,,
Mycobacterium phage Cheetobro,Mycobacteriophage Cheetobro,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Murucutumbu,Mycobacteriophage Murucutumbu,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage vB_KpnP_KpV289,Klebsiella virus KpV289,all,Kp32virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Streptomyces phage Izzy,Streptomyces virus Izzy,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage YDN12,Streptomyces virus YDN12,all,Woodruffvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Gmala1,Gordonia phage Gmala1,all,Gordtnkvirus,,Siphoviridae,Caudovirales,Vira,,
Brevibacillus phage Osiris,Brevibacillus virus Osiris,all,Jimmervirus,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage BrownCNA,Mycobacterium virus BrownCNA,all,Coopervirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PAC1,Propionibacterium phage PAC1,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Tsukamurella phage TIN3,Tsukamurella virus TIN3,all,Tin2virus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage phiIPLA-C1C,Staphylococcus virus IPLAC1C,all,Sep1virus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Mycobacterium phage PopTart,Mycobacteriophage PopTart,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_VR26,Escherichia virus VR26,all,Gaprivervirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Mannheimia phage vB_MhS_1152AP2,Mannheimia haemolytica bacteriophage vB_MhS_1152AP2,all,,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage MiaZeal,Mycobacteriophage MiaZeal,all,Omegalikevirus,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage SF3,Streptomyces flavovirens phage SF3,all,,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage RSL2,Ralstonia virus RSL2,all,Chiangmaivirus,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Kratio,Mycobacteriophage Kratio,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Dante,Mycobacteriophage Dante,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Sinorhizobium phage phiN3,Sinorhizobium virus N3,all,Emdodecavirus,,Myoviridae,Caudovirales,Vira,,
Bacillus phage Eyuki,Bacillus phage Eyuki,all,Wphvirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Escherichia phage pro483,Escherichia virus pro483,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Phipps,Mycobacterium virus Soto,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Turj99,Mycobacteriophage Turj99,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Pectobacterium bacteriophage PM2,Pectobacterium bacteriophage PM2,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage vB_Pae_PS44,Pseudomonas virus PS44,all,PB1likevirus,,Myoviridae,Caudovirales,Vira,,
Acidianus bottle-shaped virus 2,Acidianus bottle-shaped virus 2,all,Ampullavirus,,Ampullaviridae,,Vira,,
Mycobacterium phage Ovechkin,Mycobacteriophage Ovechkin,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Enkosi,Mycobacteriophage Enkosi,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Vincenzo,Mycobacterium virus Vincenzo,all,Coopervirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage PhiCHU,Pseudomonas virus CHU,all,LUZ24-like viruses,,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage PaMx28,Pseudomonas virus PaMx28,all,Pamexvirus,,Siphoviridae,Caudovirales,Vira,,
Paenibacillus phage Tripp,Paenibacillus virus Tripp,all,Trippvirus,,Siphoviridae,Caudovirales,Vira,,
Listeria phage vB_LmoS_293,Listeria monocytogenes phage vB_LmoS_293,all,,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Nerujay,Mycobacteriophage Nerujay,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage Palmer,Bacillus virus Palmer,all,Pagevirus,,Podoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_VR25,Escherichia virus VR25,all,Gaprivervirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Polaribacter phage P12002L,Polaribacter virus P12002L,all,Incheonvrus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Llama,Mycobacteriophage Llama,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Cambiare,Mycobacteriophage Cambiare,all,Halolikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Abrogate,Mycobacteriophage Abrogate,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage 3MRA,Staphylococcus phage 3MRA,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Proteus phage vB_PmiP_Pm5460,Proteus phage vB_PmiP_Pm5460,all,SP6-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage B236,Staphylococcus aureus bacteriophage B236,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus virus phiNM2,Staphylococcus aureus phage phiNM2,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage XFactor,Mycobacteriophage XFactor,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Kikipoo,Mycobacterium virus Pg1,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Toto,Mycobacterium virus Toto,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage 172-1,Escherichia virus 172-1,all,Phieco32-like viruses,,Podoviridae,Caudovirales,Vira,,
Escherichia virus FI,Allolevivirus subgroup IV,all,Allolevivirus,,Leviviridae,,Vira,,
Lactococcus virus Sl4,Lactococcus bacteriophage SL4,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage RSF1,Ralstonia virus RSF1,all,Chiangmaivirus,,Myoviridae,Caudovirales,Vira,,
Mannheimia phage vB_MhM_587AP1,Mannheimia haemolytica bacteriophage vB_MhM_587AP1,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Escherichia phage pro147,Escherichia virus pro147,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Vibrio phage phi 3,Vibrio virus phi3,all,Jesfedecavirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_VR20,Escherichia virus VR20,all,Gaprivervirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Streptomyces phage Caliburn,Streptomyces virus Caliburn,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Bacillus phage AvesoBmore,Bacillus virus AvesoBmore,all,B4virus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Pseudomonas phage vB_PaeM_PS24,Pseudomonas virus PS24,all,Kpp10virus,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage vB_EcoM_VR5,Escherichia virus VR5,all,Dhakavirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage PaMx42,Pseudomonas phage PaMx42,all,Septima3virus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Archie,Mycobacteriophage Archie,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Ariel,Mycobacteriophage Ariel,all,Omegalikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Pari,Mycobacteriophage Pari,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage HY02,Escherichia virus HY02,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Listeria phage vB_LmoS_188,Listeria monocytogenes phage vB_LmoS_188,all,,,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage vB_KpnP_SU552A,Klebsiella virus SU552A,all,Drulisvirus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Tsukamurella phage TIN2,Tsukamurella virus TIN2,all,Tin2virus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus virus phiNM4,Staphylococcus aureus phage phiNM4,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage P694,Escherichia phage MC-2014b,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage vB_SauS_phi2,Staphylococcus phage vB_SauS_phi2,all,3alikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage FlagStaff,Mycobacteriophage FlagStaff,all,Halolikevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage B166,Staphylococcus aureus bacteriophage B166,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage YMC11/12/R2315,Acinetobacter phage YMC11/12/R2315,all,Ap22virus,,Myoviridae,Caudovirales,Vira,,
Paenibacillus phage Sitara,Paenibacillus virus Sitara,all,Sitaravirus,,Siphoviridae,Caudovirales,Vira,,
Mannheimia phage vB_MhS_535AP2,Mannheimia haemolytica bacteriophage vB_MhS_535AP2,all,,,Siphoviridae,Caudovirales,Vira,,
Yersinia phage vB_YenP_ISAO8,Yersinia phage vB_YenP_ISAO8,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Acinetobacter phage Fri1,Acinetobacter virus Fri1,all,Fri1virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Escherichia phage QL01,Escherichia virus QL01,all,Dhakavirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage ShedlockHolmes,Mycobacteriophage ShedlockHolmes,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Phatniss,Mycobacteriophage Phatniss,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Lolly9,Mycobacteriophage Lolly9,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage CaptainTrips,Mycobacteriophage CaptainTrips,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Bacteriophage Lily,Paenibacillus virus Lily,all,Lilyvirus,,Siphoviridae,Caudovirales,Vira,,
Achromobacter phage 83-24,Achromobacter virus 83-24,all,Jwxvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Omnicron,Mycobacteriophage Omnicron,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage TheloniousMonk,Mycobacteriophage TheloniousMonk,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage Lannister,Streptomyces virus Lannister,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Enterococcus phage IME-EFm5,Enterococcus phage IME-EFm5,all,Efquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_AYO145A,Escherichia virus AYO145A,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Bipolar,Mycobacteriophage Bipolar,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage P483,Escherichia phage MC-2014a,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage StB20-like,Staphylococcus StB20-like phage,all,,,Siphoviridae,Caudovirales,Vira,,
Yersinia phage vB_YenM_TG1,Yersinia virus TG1,all,Tegunavirus,,Myoviridae,Caudovirales,Vira,,
Pseudoalteromonas phage H103,Pseudoalteromonas phage H103,all,,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage TP1604,Streptomyces virus TP1604,all,Woodruffvirus,,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage vB_KpnP_SU503,Klebsiella virus SU503,all,Drulisvirus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Seagreen,Mycobacteriophage Seagreen,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Proteus phage pPM_01,Phage pPM_01,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Rufus,Mycobacteriophage Rufus,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage PaMx74,Pseudomonas virus PaMx74,all,Pamexvirus,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage SF1,Streptomyces flavovirens phage SF1,all,,,Siphoviridae,Caudovirales,Vira,,
Brevibacillus phage Jenst,Brevibacillus virus Jenst,all,Jenstvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage OSmaximus,Mycobacterium virus Osmaximus,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Vortex,Mycobacteriophage Vortex,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage K5,Klebsiella virus K5,all,Kp32virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Vibrio phage phi 1,Vibrio cholerae phage phi 1,all,,,Podoviridae,Caudovirales,Vira,,
Enterobacter phage E-3,Enterobacter cloacae phage E-3,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
